category,mode,k_shot,seed,Image AUROC,Image AP,Image F1,Pixel AUROC,Pixel AP,Pixel F1,Pixel PRO
bottle,k1,1,0,1.0000,1.0000,1.0000,0.9787,0.7678,0.7402,0.9179
bottle,k1,1,42,0.9992,0.9998,0.9921,0.9705,0.7493,0.7168,0.8989
bottle,k1,1,123,1.0000,1.0000,1.0000,0.9754,0.7594,0.7301,0.8909
bottle,k1,1,456,0.9984,0.9995,0.9920,0.9667,0.7039,0.6904,0.9061
bottle,k1,1,789,1.0000,1.0000,1.0000,0.9754,0.7565,0.7296,0.9319
bottle,k2,2,0,0.9992,0.9998,0.9921,0.9764,0.7588,0.7309,0.9060
bottle,k2,2,42,1.0000,1.0000,1.0000,0.9801,0.7862,0.7497,0.9408
bottle,k2,2,123,0.9984,0.9995,0.9920,0.9786,0.7601,0.7385,0.9094
bottle,k2,2,456,0.9976,0.9992,0.9921,0.9799,0.7466,0.7384,0.9273
bottle,k2,2,789,1.0000,1.0000,1.0000,0.9830,0.7874,0.7566,0.9365
bottle,k2,2,789,1.0000,1.0000,1.0000,0.9781,0.7756,0.7411,0.9247
bottle,k4,4,0,0.9984,0.9995,0.9921,0.9766,0.7626,0.7300,0.8995
bottle,k4,4,42,1.0000,1.0000,1.0000,0.9816,0.7677,0.7567,0.9246
bottle,k4,4,123,0.9992,0.9998,0.9921,0.9799,0.7696,0.7416,0.9112
bottle,k4,4,456,0.9976,0.9992,0.9921,0.9808,0.7686,0.7440,0.9026
bottle,k4,4,789,1.0000,1.0000,1.0000,0.9812,0.7668,0.7537,0.9104
cable,k1,1,0,0.7969,0.8806,0.7944,0.9118,0.5100,0.5169,0.7887
cable,k1,1,42,0.8184,0.8597,0.8365,0.8919,0.4227,0.4469,0.7517
cable,k1,1,123,0.9245,0.9577,0.8913,0.9322,0.5738,0.5684,0.8096
cable,k1,1,456,0.8654,0.9188,0.8500,0.9154,0.5192,0.5290,0.7740
cable,k1,1,789,0.7397,0.7996,0.8041,0.8429,0.3847,0.4200,0.6880
cable,k2,2,0,0.8390,0.9098,0.8229,0.9197,0.5747,0.5666,0.8091
cable,k2,2,42,0.8919,0.9351,0.8571,0.9337,0.5872,0.5837,0.8525
cable,k2,2,123,0.8816,0.9293,0.8451,0.9300,0.6045,0.5792,0.8415
cable,k2,2,456,0.8720,0.9237,0.8415,0.9303,0.5576,0.5695,0.8090
cable,k2,2,789,0.8266,0.8924,0.8247,0.8944,0.5159,0.4995,0.7728
cable,k2,2,789,0.8325,0.8960,0.8218,0.8840,0.5089,0.4976,0.7714
cable,k4,4,0,0.9355,0.9650,0.8889,0.9525,0.6292,0.6211,0.8814
cable,k4,4,42,0.9779,0.9866,0.9508,0.9542,0.6495,0.6333,0.9016
cable,k4,4,123,0.9194,0.9572,0.8865,0.9450,0.6248,0.6103,0.8688
cable,k4,4,456,0.9561,0.9722,0.9158,0.9467,0.6371,0.6022,0.8800
cable,k4,4,789,0.9625,0.9767,0.9278,0.9539,0.6580,0.6285,0.8934
capsule,k1,1,0,0.6913,0.9232,0.9046,0.9552,0.2159,0.3231,0.7411
capsule,k1,1,42,0.7599,0.9098,0.9339,0.9793,0.3022,0.3942,0.8869
capsule,k1,1,123,0.6394,0.8404,0.9375,0.9718,0.1704,0.3014,0.8873
capsule,k1,1,456,0.7710,0.9295,0.9163,0.9809,0.3388,0.4056,0.9206
capsule,k1,1,789,0.8528,0.9651,0.9316,0.9783,0.3330,0.4023,0.9081
capsule,k2,2,0,0.7543,0.9307,0.9316,0.9829,0.3399,0.4064,0.9049
capsule,k2,2,42,0.7659,0.9104,0.9417,0.9823,0.3089,0.3961,0.9110
capsule,k2,2,123,0.6669,0.8562,0.9327,0.9781,0.2202,0.3410,0.9071
capsule,k2,2,456,0.7870,0.9266,0.9464,0.9835,0.3428,0.4216,0.9213
capsule,k2,2,789,0.8783,0.9667,0.9502,0.9851,0.3735,0.4406,0.9283
capsule,k2,2,789,0.8787,0.9667,0.9502,0.9846,0.3682,0.4334,0.9294
capsule,k4,4,0,0.8065,0.9359,0.9455,0.9833,0.3454,0.4029,0.9000
capsule,k4,4,42,0.9222,0.9750,0.9680,0.9884,0.4130,0.4951,0.9331
capsule,k4,4,123,0.8245,0.9494,0.9412,0.9864,0.3958,0.4369,0.9376
capsule,k4,4,456,0.9462,0.9862,0.9677,0.9886,0.4265,0.5040,0.9454
capsule,k4,4,789,0.9366,0.9836,0.9596,0.9887,0.4212,0.5010,0.9434
carpet,k1,1,0,0.9888,0.9968,0.9775,0.9871,0.5756,0.6016,0.8648
carpet,k1,1,42,0.9876,0.9964,0.9773,0.9870,0.5725,0.6082,0.8714
carpet,k1,1,123,0.9924,0.9977,0.9829,0.9874,0.6094,0.6050,0.8955
carpet,k1,1,456,0.9912,0.9973,0.9727,0.9872,0.5912,0.6056,0.8788
carpet,k1,1,789,0.9936,0.9981,0.9832,0.9862,0.5457,0.5985,0.8793
carpet,k2,2,0,0.9848,0.9959,0.9829,0.9859,0.5264,0.5689,0.8613
carpet,k2,2,42,0.9944,0.9984,0.9888,0.9863,0.5216,0.5858,0.8866
carpet,k2,2,123,0.9928,0.9979,0.9831,0.9860,0.5552,0.5789,0.8728
carpet,k2,2,456,0.9916,0.9976,0.9886,0.9870,0.5726,0.5898,0.8751
carpet,k2,2,789,0.9916,0.9976,0.9831,0.9855,0.5222,0.5797,0.8720
carpet,k2,2,789,0.9916,0.9976,0.9831,0.9855,0.5222,0.5797,0.8720
carpet,k4,4,0,0.9920,0.9977,0.9886,0.9863,0.5242,0.5660,0.8623
carpet,k4,4,42,0.9944,0.9984,0.9888,0.9857,0.5082,0.5715,0.8858
carpet,k4,4,123,0.9924,0.9978,0.9831,0.9857,0.5411,0.5611,0.8770
carpet,k4,4,456,0.9992,0.9997,0.9944,0.9864,0.5352,0.5698,0.8905
carpet,k4,4,789,0.9924,0.9978,0.9829,0.9844,0.4839,0.5558,0.8764
grid,k1,1,0,0.6842,0.8117,0.8852,0.7884,0.0261,0.0615,0.5415
grid,k1,1,42,0.9541,0.9860,0.9391,0.9177,0.2225,0.3176,0.8306
grid,k1,1,123,0.6475,0.8331,0.8444,0.7346,0.0206,0.0529,0.4355
grid,k1,1,456,0.7778,0.9101,0.8615,0.8275,0.1058,0.2086,0.6251
grid,k1,1,789,0.9382,0.9814,0.9369,0.9206,0.2216,0.3052,0.8349
grid,k2,2,0,0.7744,0.8761,0.8943,0.8315,0.0645,0.1173,0.6742
grid,k2,2,42,0.9657,0.9898,0.9643,0.9218,0.2356,0.3150,0.8440
grid,k2,2,123,0.9056,0.9636,0.9231,0.9279,0.2177,0.3156,0.8086
grid,k2,2,456,0.7318,0.8744,0.8702,0.8232,0.0832,0.1650,0.5764
grid,k2,2,789,0.9624,0.9883,0.9474,0.9506,0.2567,0.3562,0.8897
grid,k2,2,789,0.9624,0.9883,0.9474,0.9506,0.2567,0.3562,0.8897
grid,k4,4,0,0.7811,0.8979,0.8906,0.8577,0.0934,0.1617,0.7012
grid,k4,4,42,0.9733,0.9922,0.9730,0.9594,0.2703,0.3502,0.8975
grid,k4,4,123,0.9006,0.9513,0.9217,0.9339,0.2004,0.2657,0.8259
grid,k4,4,456,0.7694,0.8678,0.8615,0.8734,0.1010,0.1914,0.6826
grid,k4,4,789,0.9499,0.9837,0.9298,0.9158,0.2432,0.3288,0.8545
hazelnut,k1,1,0,0.9536,0.9744,0.9296,0.9493,0.3709,0.4084,0.7661
hazelnut,k1,1,42,0.9696,0.9827,0.9306,0.9827,0.5400,0.5709,0.8174
hazelnut,k1,1,123,0.9104,0.9494,0.8734,0.9592,0.4174,0.4611,0.7314
hazelnut,k1,1,456,0.9943,0.9965,0.9790,0.9821,0.5396,0.5631,0.8041
hazelnut,k1,1,789,0.9900,0.9943,0.9722,0.9700,0.4412,0.4973,0.8261
hazelnut,k2,2,0,0.9918,0.9952,0.9784,0.9673,0.4155,0.4606,0.8152
hazelnut,k2,2,42,1.0000,1.0000,1.0000,0.9843,0.5510,0.5823,0.8054
hazelnut,k2,2,123,0.9979,0.9987,0.9929,0.9699,0.4474,0.4942,0.7712
hazelnut,k2,2,456,0.9993,0.9996,0.9928,0.9800,0.4971,0.5357,0.8085
hazelnut,k2,2,789,1.0000,1.0000,1.0000,0.9809,0.4939,0.5396,0.8276
hazelnut,k2,2,789,1.0000,1.0000,1.0000,0.9809,0.4939,0.5396,0.8276
hazelnut,k4,4,0,0.9950,0.9972,0.9722,0.9691,0.4224,0.4696,0.8090
hazelnut,k4,4,42,0.9975,0.9985,0.9929,0.9833,0.5423,0.5658,0.8045
hazelnut,k4,4,123,1.0000,1.0000,1.0000,0.9819,0.5243,0.5591,0.8243
hazelnut,k4,4,456,1.0000,1.0000,1.0000,0.9802,0.4930,0.5421,0.7915
hazelnut,k4,4,789,1.0000,1.0000,1.0000,0.9829,0.5211,0.5638,0.8362
leather,k1,1,0,1.0000,1.0000,1.0000,0.9938,0.5011,0.5178,0.9767
leather,k1,1,42,1.0000,1.0000,1.0000,0.9928,0.4757,0.4952,0.9758
leather,k1,1,123,1.0000,1.0000,1.0000,0.9933,0.4803,0.5064,0.9750
leather,k1,1,456,1.0000,1.0000,1.0000,0.9926,0.4804,0.4988,0.9721
leather,k1,1,789,1.0000,1.0000,1.0000,0.9922,0.4477,0.4769,0.9705
leather,k2,2,0,1.0000,1.0000,1.0000,0.9934,0.4967,0.5148,0.9722
leather,k2,2,42,1.0000,1.0000,1.0000,0.9930,0.4860,0.5003,0.9768
leather,k2,2,123,1.0000,1.0000,1.0000,0.9931,0.4735,0.5009,0.9712
leather,k2,2,456,1.0000,1.0000,1.0000,0.9921,0.4439,0.4710,0.9757
leather,k2,2,789,1.0000,1.0000,1.0000,0.9929,0.4693,0.5017,0.9722
leather,k2,2,789,1.0000,1.0000,1.0000,0.9929,0.4693,0.5017,0.9722
leather,k4,4,0,1.0000,1.0000,1.0000,0.9939,0.5443,0.5479,0.9704
leather,k4,4,42,1.0000,1.0000,1.0000,0.9939,0.5156,0.5302,0.9742
leather,k4,4,123,1.0000,1.0000,1.0000,0.9931,0.4765,0.5029,0.9715
leather,k4,4,456,1.0000,1.0000,1.0000,0.9936,0.4944,0.5075,0.9783
leather,k4,4,789,1.0000,1.0000,1.0000,0.9924,0.4365,0.4870,0.9659
metal_nut,k1,1,0,0.8074,0.9476,0.9082,0.9491,0.7711,0.7173,0.8283
metal_nut,k1,1,42,0.7903,0.9431,0.9137,0.9617,0.8261,0.7648,0.8090
metal_nut,k1,1,123,0.8465,0.9607,0.9200,0.9459,0.7530,0.7183,0.7973
metal_nut,k1,1,456,0.8856,0.9711,0.9375,0.9224,0.7321,0.6656,0.7218
metal_nut,k1,1,789,0.8998,0.9758,0.9223,0.9533,0.8213,0.7491,0.8090
metal_nut,k2,2,0,0.9687,0.9916,0.9634,0.9816,0.8926,0.8403,0.9327
metal_nut,k2,2,42,0.9560,0.9892,0.9570,0.9823,0.9049,0.8403,0.8852
metal_nut,k2,2,123,0.9360,0.9846,0.9468,0.9653,0.8324,0.7823,0.8572
metal_nut,k2,2,456,0.9726,0.9939,0.9570,0.9776,0.8756,0.8271,0.9107
metal_nut,k2,2,789,0.9501,0.9887,0.9388,0.9770,0.8774,0.8211,0.8733
metal_nut,k2,2,789,0.9501,0.9887,0.9388,0.9770,0.8774,0.8211,0.8733
metal_nut,k4,4,0,0.9897,0.9976,0.9841,0.9875,0.9170,0.8659,0.9257
metal_nut,k4,4,42,0.9961,0.9991,0.9891,0.9868,0.9211,0.8675,0.9185
metal_nut,k4,4,123,0.9824,0.9960,0.9626,0.9789,0.8753,0.8343,0.9160
metal_nut,k4,4,456,0.9976,0.9994,0.9894,0.9861,0.9110,0.8640,0.9342
metal_nut,k4,4,789,0.9980,0.9995,0.9894,0.9875,0.9215,0.8700,0.9228
pill,k1,1,0,0.9332,0.9877,0.9470,0.9783,0.7921,0.7377,0.9467
pill,k1,1,42,0.8882,0.9774,0.9338,0.9801,0.8101,0.7592,0.9494
pill,k1,1,123,0.8224,0.9641,0.9169,0.9453,0.6617,0.6423,0.8621
pill,k1,1,456,0.8601,0.9695,0.9291,0.9797,0.7771,0.7223,0.9503
pill,k1,1,789,0.8786,0.9766,0.9283,0.9716,0.7850,0.7337,0.9237
pill,k2,2,0,0.9332,0.9868,0.9474,0.9854,0.8272,0.7577,0.9622
pill,k2,2,42,0.9242,0.9853,0.9470,0.9846,0.8312,0.7695,0.9570
pill,k2,2,123,0.9078,0.9815,0.9448,0.9818,0.8044,0.7461,0.9454
pill,k2,2,456,0.8797,0.9744,0.9231,0.9800,0.7825,0.7303,0.9457
pill,k2,2,789,0.9182,0.9842,0.9357,0.9747,0.7654,0.7210,0.9435
pill,k2,2,789,0.9182,0.9842,0.9357,0.9747,0.7654,0.7210,0.9435
pill,k4,4,0,0.9389,0.9885,0.9514,0.9835,0.8207,0.7549,0.9571
pill,k4,4,42,0.9523,0.9908,0.9580,0.9888,0.8422,0.7736,0.9649
pill,k4,4,123,0.9326,0.9860,0.9609,0.9831,0.8005,0.7396,0.9488
pill,k4,4,456,0.9313,0.9861,0.9583,0.9847,0.8119,0.7483,0.9577
pill,k4,4,789,0.9389,0.9888,0.9504,0.9826,0.8033,0.7382,0.9546
screw,k1,1,0,0.8026,0.9177,0.8806,0.9692,0.1020,0.2000,0.8711
screw,k1,1,42,0.7590,0.9074,0.8655,0.9572,0.1772,0.2572,0.8545
screw,k1,1,123,0.8225,0.9374,0.8679,0.9740,0.2069,0.3235,0.8914
screw,k1,1,456,0.8325,0.9319,0.8915,0.9795,0.2242,0.3103,0.8963
screw,k1,1,789,0.8602,0.9536,0.8787,0.9551,0.1035,0.2147,0.8383
screw,k2,2,0,0.8225,0.9303,0.8706,0.9655,0.1749,0.2861,0.8707
screw,k2,2,42,0.7807,0.9186,0.8708,0.9657,0.2005,0.2888,0.8678
screw,k2,2,123,0.8666,0.9561,0.8800,0.9769,0.2071,0.3249,0.8996
screw,k2,2,456,0.9248,0.9735,0.9136,0.9824,0.2485,0.3404,0.9302
screw,k2,2,789,0.8664,0.9542,0.8793,0.9724,0.1683,0.2727,0.8934
screw,k2,2,789,0.8664,0.9542,0.8793,0.9724,0.1683,0.2727,0.8934
screw,k4,4,0,0.8707,0.9458,0.9141,0.9617,0.2353,0.3193,0.8815
screw,k4,4,42,0.8006,0.9307,0.8645,0.9774,0.2534,0.3355,0.9093
screw,k4,4,123,0.8813,0.9584,0.9012,0.9211,0.1406,0.2476,0.7624
screw,k4,4,456,0.9322,0.9768,0.9244,0.9823,0.3043,0.3727,0.9158
screw,k4,4,789,0.9180,0.9722,0.9098,0.9822,0.2701,0.3384,0.9270
tile,k1,1,0,0.9852,0.9951,0.9762,0.9591,0.6095,0.6767,0.9173
tile,k1,1,42,0.9960,0.9985,0.9818,0.9520,0.5473,0.6483,0.9169
tile,k1,1,123,0.9903,0.9966,0.9820,0.9574,0.5677,0.6647,0.9179
tile,k1,1,456,0.9957,0.9983,0.9822,0.9570,0.5588,0.6628,0.9201
tile,k1,1,789,0.9863,0.9956,0.9820,0.9606,0.5848,0.6679,0.9223
tile,k2,2,0,0.9874,0.9955,0.9762,0.9654,0.6373,0.6839,0.9153
tile,k2,2,42,0.9939,0.9977,0.9765,0.9577,0.5724,0.6546,0.9167
tile,k2,2,123,0.9895,0.9963,0.9820,0.9632,0.6042,0.6691,0.9143
tile,k2,2,456,0.9935,0.9977,0.9820,0.9601,0.5807,0.6678,0.9169
tile,k2,2,789,0.9917,0.9971,0.9820,0.9620,0.5857,0.6626,0.9173
tile,k2,2,789,0.9917,0.9971,0.9820,0.9620,0.5857,0.6626,0.9173
tile,k4,4,0,0.9917,0.9968,0.9759,0.9678,0.6622,0.6937,0.9248
tile,k4,4,42,0.9881,0.9954,0.9701,0.9519,0.5601,0.6481,0.9169
tile,k4,4,123,0.9921,0.9972,0.9820,0.9656,0.6202,0.6798,0.9195
tile,k4,4,456,0.9957,0.9984,0.9820,0.9660,0.6460,0.6890,0.9174
tile,k4,4,789,0.9968,0.9988,0.9820,0.9587,0.5793,0.6422,0.9090
toothbrush,k1,1,0,0.9583,0.9852,0.9310,0.9818,0.4584,0.5659,0.9032
toothbrush,k1,1,42,0.9806,0.9933,0.9667,0.9775,0.3918,0.5179,0.8832
toothbrush,k1,1,123,0.8833,0.9587,0.8824,0.9793,0.4793,0.5552,0.8753
toothbrush,k1,1,456,0.9583,0.9848,0.9286,0.9847,0.4788,0.5806,0.9128
toothbrush,k1,1,789,0.9861,0.9952,0.9831,0.9837,0.4473,0.5516,0.9145
toothbrush,k2,2,0,0.9806,0.9927,0.9524,0.9848,0.4586,0.5581,0.9145
toothbrush,k2,2,42,0.9972,0.9989,0.9836,0.9866,0.4399,0.5450,0.9271
toothbrush,k2,2,123,0.8722,0.9547,0.8824,0.9749,0.4559,0.5503,0.8513
toothbrush,k2,2,456,0.9694,0.9889,0.9492,0.9849,0.4608,0.5653,0.9193
toothbrush,k2,2,789,0.9833,0.9938,0.9655,0.9838,0.4406,0.5429,0.9146
toothbrush,k2,2,789,0.9833,0.9938,0.9655,0.9838,0.4406,0.5429,0.9146
toothbrush,k4,4,0,0.9750,0.9909,0.9508,0.9820,0.4654,0.5502,0.9050
toothbrush,k4,4,42,0.9917,0.9970,0.9831,0.9852,0.4276,0.5288,0.9328
toothbrush,k4,4,123,0.9889,0.9957,0.9677,0.9858,0.4635,0.5602,0.9169
toothbrush,k4,4,456,0.9639,0.9873,0.9474,0.9815,0.4142,0.5315,0.9067
toothbrush,k4,4,789,1.0000,1.0000,1.0000,0.9864,0.4315,0.5326,0.9331
transistor,k1,1,0,0.7042,0.6544,0.6549,0.7885,0.2983,0.3378,0.6276
transistor,k1,1,42,0.8987,0.8675,0.7912,0.9016,0.5353,0.5203,0.8013
transistor,k1,1,123,0.9142,0.9140,0.8642,0.8936,0.5192,0.5058,0.7868
transistor,k1,1,456,0.7696,0.7213,0.6604,0.7314,0.3185,0.3466,0.5338
transistor,k1,1,789,0.6650,0.5969,0.6435,0.4755,0.0838,0.1161,0.2061
transistor,k2,2,0,0.7438,0.7330,0.6667,0.8725,0.4482,0.4346,0.7570
transistor,k2,2,42,0.9675,0.9590,0.8800,0.9246,0.5798,0.5536,0.8608
transistor,k2,2,123,0.9508,0.9467,0.8718,0.9265,0.5907,0.5586,0.8652
transistor,k2,2,456,0.7308,0.7056,0.6435,0.7813,0.3851,0.4145,0.6344
transistor,k2,2,789,0.9154,0.9003,0.8140,0.9199,0.5474,0.5144,0.8579
transistor,k2,2,789,0.9071,0.8890,0.7857,0.8862,0.5105,0.4997,0.8076
transistor,k4,4,0,0.8079,0.7947,0.7000,0.8619,0.4573,0.4548,0.7646
transistor,k4,4,42,0.9829,0.9787,0.9351,0.9487,0.6313,0.5901,0.9049
transistor,k4,4,123,0.9679,0.9522,0.8966,0.9411,0.5986,0.5700,0.8863
transistor,k4,4,456,0.9629,0.9626,0.9231,0.8963,0.5306,0.5327,0.8046
transistor,k4,4,789,0.9571,0.9388,0.8889,0.9324,0.5812,0.5445,0.8617
wood,k1,1,0,0.9921,0.9975,0.9836,0.9295,0.4924,0.5168,0.8452
wood,k1,1,42,0.9895,0.9968,0.9672,0.9383,0.4749,0.5003,0.8668
wood,k1,1,123,0.9895,0.9969,0.9752,0.9449,0.5045,0.5237,0.8708
wood,k1,1,456,0.9895,0.9967,0.9756,0.9230,0.4458,0.4833,0.8468
wood,k1,1,789,0.9895,0.9967,0.9756,0.9378,0.4706,0.4967,0.8717
wood,k2,2,0,0.9956,0.9987,0.9833,0.9416,0.4903,0.5028,0.8516
wood,k2,2,42,0.9868,0.9959,0.9677,0.9466,0.4879,0.5058,0.8784
wood,k2,2,123,0.9886,0.9966,0.9667,0.9379,0.4789,0.5076,0.8636
wood,k2,2,456,0.9974,0.9992,0.9917,0.9325,0.4639,0.4991,0.8447
wood,k2,2,789,0.9904,0.9970,0.9756,0.9364,0.4649,0.4845,0.8626
wood,k2,2,789,0.9904,0.9970,0.9756,0.9373,0.4643,0.4856,0.8706
wood,k4,4,0,0.9921,0.9976,0.9752,0.9318,0.4495,0.4869,0.8514
wood,k4,4,42,0.9886,0.9965,0.9677,0.9453,0.4809,0.4996,0.8671
wood,k4,4,123,0.9974,0.9992,0.9916,0.9418,0.4840,0.5065,0.8624
wood,k4,4,456,0.9991,0.9997,0.9917,0.9001,0.3945,0.4742,0.8138
wood,k4,4,789,0.9947,0.9984,0.9756,0.9448,0.4745,0.4958,0.8669
zipper,k1,1,0,0.9627,0.9882,0.9714,0.9842,0.6147,0.6301,0.9513
zipper,k1,1,42,0.9903,0.9973,0.9752,0.9796,0.5560,0.6050,0.9367
zipper,k1,1,123,0.9908,0.9975,0.9874,0.9765,0.5577,0.5865,0.9315
zipper,k1,1,456,0.9638,0.9883,0.9661,0.9828,0.5847,0.6231,0.9488
zipper,k1,1,789,0.9622,0.9887,0.9528,0.9821,0.5714,0.6070,0.9455
zipper,k2,2,0,0.9609,0.9862,0.9712,0.9864,0.6226,0.6445,0.9539
zipper,k2,2,42,0.9919,0.9976,0.9835,0.9821,0.5825,0.6192,0.9453
zipper,k2,2,123,0.9924,0.9979,0.9835,0.9836,0.6001,0.6331,0.9511
zipper,k2,2,456,0.9879,0.9965,0.9794,0.9875,0.6589,0.6667,0.9637
zipper,k2,2,789,0.9929,0.9980,0.9874,0.9843,0.6255,0.6342,0.9504
zipper,k2,2,789,0.9905,0.9972,0.9832,0.9859,0.6245,0.6401,0.9518
zipper,k4,4,0,0.9850,0.9960,0.9752,0.9835,0.6166,0.6420,0.9467
zipper,k4,4,42,0.9966,0.9991,0.9874,0.9860,0.6221,0.6471,0.9548
zipper,k4,4,123,0.9947,0.9986,0.9874,0.9858,0.6436,0.6512,0.9562
zipper,k4,4,456,0.9856,0.9955,0.9794,0.9891,0.6746,0.6780,0.9673
zipper,k4,4,789,0.9932,0.9980,0.9876,0.9879,0.6527,0.6548,0.9608
