category,mode,n_seeds,metric,mean,std,min,max
bottle,k1,5,Image AUROC,0.9995,0.0006,0.9984,1.0000
bottle,k1,5,Image AP,0.9999,0.0002,0.9995,1.0000
bottle,k1,5,Image F1,0.9968,0.0039,0.9920,1.0000
bottle,k1,5,Pixel AUROC,0.9733,0.0042,0.9667,0.9787
bottle,k1,5,Pixel AP,0.7474,0.0225,0.7039,0.7678
bottle,k1,5,Pixel F1,0.7214,0.0172,0.6904,0.7402
bottle,k1,5,Pixel PRO,0.9091,0.0144,0.8909,0.9319
bottle,k2,6,Image AUROC,0.9992,0.0009,0.9976,1.0000
bottle,k2,6,Image AP,0.9998,0.0003,0.9992,1.0000
bottle,k2,6,Image F1,0.9960,0.0040,0.9920,1.0000
bottle,k2,6,Pixel AUROC,0.9793,0.0020,0.9764,0.9830
bottle,k2,6,Pixel AP,0.7691,0.0151,0.7466,0.7874
bottle,k2,6,Pixel F1,0.7425,0.0084,0.7309,0.7566
bottle,k2,6,Pixel PRO,0.9241,0.0128,0.9060,0.9408
bottle,k4,5,Image AUROC,0.9990,0.0009,0.9976,1.0000
bottle,k4,5,Image AP,0.9997,0.0003,0.9992,1.0000
bottle,k4,5,Image F1,0.9953,0.0039,0.9921,1.0000
bottle,k4,5,Pixel AUROC,0.9800,0.0018,0.9766,0.9816
bottle,k4,5,Pixel AP,0.7671,0.0024,0.7626,0.7696
bottle,k4,5,Pixel F1,0.7452,0.0095,0.7300,0.7567
bottle,k4,5,Pixel PRO,0.9097,0.0087,0.8995,0.9246
cable,k1,5,Image AUROC,0.8290,0.0625,0.7397,0.9245
cable,k1,5,Image AP,0.8833,0.0536,0.7996,0.9577
cable,k1,5,Image F1,0.8353,0.0346,0.7944,0.8913
cable,k1,5,Pixel AUROC,0.8988,0.0308,0.8429,0.9322
cable,k1,5,Pixel AP,0.4821,0.0687,0.3847,0.5738
cable,k1,5,Pixel F1,0.4962,0.0547,0.4200,0.5684
cable,k1,5,Pixel PRO,0.7624,0.0417,0.6880,0.8096
cable,k2,6,Image AUROC,0.8573,0.0255,0.8266,0.8919
cable,k2,6,Image AP,0.9144,0.0162,0.8924,0.9351
cable,k2,6,Image F1,0.8355,0.0133,0.8218,0.8571
cable,k2,6,Pixel AUROC,0.9153,0.0192,0.8840,0.9337
cable,k2,6,Pixel AP,0.5581,0.0353,0.5089,0.6045
cable,k2,6,Pixel F1,0.5493,0.0364,0.4976,0.5837
cable,k2,6,Pixel PRO,0.8094,0.0307,0.7714,0.8525
cable,k4,5,Image AUROC,0.9503,0.0206,0.9194,0.9779
cable,k4,5,Image AP,0.9715,0.0100,0.9572,0.9866
cable,k4,5,Image F1,0.9140,0.0242,0.8865,0.9508
cable,k4,5,Pixel AUROC,0.9505,0.0038,0.9450,0.9542
cable,k4,5,Pixel AP,0.6397,0.0124,0.6248,0.6580
cable,k4,5,Pixel F1,0.6191,0.0115,0.6022,0.6333
cable,k4,5,Pixel PRO,0.8850,0.0114,0.8688,0.9016
capsule,k1,5,Image AUROC,0.7429,0.0728,0.6394,0.8528
capsule,k1,5,Image AP,0.9136,0.0409,0.8404,0.9651
capsule,k1,5,Image F1,0.9248,0.0124,0.9046,0.9375
capsule,k1,5,Pixel AUROC,0.9731,0.0095,0.9552,0.9809
capsule,k1,5,Pixel AP,0.2721,0.0672,0.1704,0.3388
capsule,k1,5,Pixel F1,0.3653,0.0440,0.3014,0.4056
capsule,k1,5,Pixel PRO,0.8688,0.0651,0.7411,0.9206
capsule,k2,6,Image AUROC,0.7885,0.0738,0.6669,0.8787
capsule,k2,6,Image AP,0.9262,0.0375,0.8562,0.9667
capsule,k2,6,Image F1,0.9421,0.0076,0.9316,0.9502
capsule,k2,6,Pixel AUROC,0.9828,0.0023,0.9781,0.9851
capsule,k2,6,Pixel AP,0.3256,0.0516,0.2202,0.3735
capsule,k2,6,Pixel F1,0.4065,0.0329,0.3410,0.4406
capsule,k2,6,Pixel PRO,0.9170,0.0098,0.9049,0.9294
capsule,k4,5,Image AUROC,0.8872,0.0593,0.8065,0.9462
capsule,k4,5,Image AP,0.9660,0.0199,0.9359,0.9862
capsule,k4,5,Image F1,0.9564,0.0112,0.9412,0.9680
capsule,k4,5,Pixel AUROC,0.9871,0.0021,0.9833,0.9887
capsule,k4,5,Pixel AP,0.4004,0.0294,0.3454,0.4265
capsule,k4,5,Pixel F1,0.4680,0.0408,0.4029,0.5040
capsule,k4,5,Pixel PRO,0.9319,0.0165,0.9000,0.9454
carpet,k1,5,Image AUROC,0.9907,0.0022,0.9876,0.9936
carpet,k1,5,Image AP,0.9973,0.0006,0.9964,0.9981
carpet,k1,5,Image F1,0.9787,0.0039,0.9727,0.9832
carpet,k1,5,Pixel AUROC,0.9870,0.0004,0.9862,0.9874
carpet,k1,5,Pixel AP,0.5789,0.0211,0.5457,0.6094
carpet,k1,5,Pixel F1,0.6038,0.0034,0.5985,0.6082
carpet,k1,5,Pixel PRO,0.8780,0.0103,0.8648,0.8955
carpet,k2,6,Image AUROC,0.9911,0.0030,0.9848,0.9944
carpet,k2,6,Image AP,0.9975,0.0008,0.9959,0.9984
carpet,k2,6,Image F1,0.9849,0.0027,0.9829,0.9888
carpet,k2,6,Pixel AUROC,0.9860,0.0005,0.9855,0.9870
carpet,k2,6,Pixel AP,0.5367,0.0199,0.5216,0.5726
carpet,k2,6,Pixel F1,0.5805,0.0065,0.5689,0.5898
carpet,k2,6,Pixel PRO,0.8733,0.0074,0.8613,0.8866
carpet,k4,5,Image AUROC,0.9941,0.0027,0.9920,0.9992
carpet,k4,5,Image AP,0.9983,0.0008,0.9977,0.9997
carpet,k4,5,Image F1,0.9876,0.0043,0.9829,0.9944
carpet,k4,5,Pixel AUROC,0.9857,0.0007,0.9844,0.9864
carpet,k4,5,Pixel AP,0.5185,0.0206,0.4839,0.5411
carpet,k4,5,Pixel F1,0.5648,0.0058,0.5558,0.5715
carpet,k4,5,Pixel PRO,0.8784,0.0097,0.8623,0.8905
grid,k1,5,Image AUROC,0.8004,0.1265,0.6475,0.9541
grid,k1,5,Image AP,0.9045,0.0725,0.8117,0.9860
grid,k1,5,Image F1,0.8934,0.0386,0.8444,0.9391
grid,k1,5,Pixel AUROC,0.8378,0.0727,0.7346,0.9206
grid,k1,5,Pixel AP,0.1193,0.0891,0.0206,0.2225
grid,k1,5,Pixel F1,0.1892,0.1142,0.0529,0.3176
grid,k1,5,Pixel PRO,0.6535,0.1582,0.4355,0.8349
grid,k2,6,Image AUROC,0.8837,0.0954,0.7318,0.9657
grid,k2,6,Image AP,0.9468,0.0513,0.8744,0.9898
grid,k2,6,Image F1,0.9245,0.0329,0.8702,0.9643
grid,k2,6,Pixel AUROC,0.9009,0.0532,0.8232,0.9506
grid,k2,6,Pixel AP,0.1857,0.0804,0.0645,0.2567
grid,k2,6,Pixel F1,0.2709,0.0943,0.1173,0.3562
grid,k2,6,Pixel PRO,0.7804,0.1166,0.5764,0.8897
grid,k4,5,Image AUROC,0.8749,0.0847,0.7694,0.9733
grid,k4,5,Image AP,0.9386,0.0485,0.8678,0.9922
grid,k4,5,Image F1,0.9153,0.0376,0.8615,0.9730
grid,k4,5,Pixel AUROC,0.9080,0.0377,0.8577,0.9594
grid,k4,5,Pixel AP,0.1817,0.0725,0.0934,0.2703
grid,k4,5,Pixel F1,0.2596,0.0739,0.1617,0.3502
grid,k4,5,Pixel PRO,0.7923,0.0853,0.6826,0.8975
hazelnut,k1,5,Image AUROC,0.9636,0.0304,0.9104,0.9943
hazelnut,k1,5,Image AP,0.9795,0.0170,0.9494,0.9965
hazelnut,k1,5,Image F1,0.9370,0.0378,0.8734,0.9790
hazelnut,k1,5,Pixel AUROC,0.9687,0.0130,0.9493,0.9827
hazelnut,k1,5,Pixel AP,0.4618,0.0676,0.3709,0.5400
hazelnut,k1,5,Pixel F1,0.5002,0.0615,0.4084,0.5709
hazelnut,k1,5,Pixel PRO,0.7890,0.0354,0.7314,0.8261
hazelnut,k2,6,Image AUROC,0.9982,0.0029,0.9918,1.0000
hazelnut,k2,6,Image AP,0.9989,0.0017,0.9952,1.0000
hazelnut,k2,6,Image F1,0.9940,0.0077,0.9784,1.0000
hazelnut,k2,6,Pixel AUROC,0.9772,0.0063,0.9673,0.9843
hazelnut,k2,6,Pixel AP,0.4831,0.0426,0.4155,0.5510
hazelnut,k2,6,Pixel F1,0.5253,0.0386,0.4606,0.5823
hazelnut,k2,6,Pixel PRO,0.8093,0.0190,0.7712,0.8276
hazelnut,k4,5,Image AUROC,0.9985,0.0020,0.9950,1.0000
hazelnut,k4,5,Image AP,0.9991,0.0011,0.9972,1.0000
hazelnut,k4,5,Image F1,0.9930,0.0108,0.9722,1.0000
hazelnut,k4,5,Pixel AUROC,0.9795,0.0053,0.9691,0.9833
hazelnut,k4,5,Pixel AP,0.5006,0.0422,0.4224,0.5423
hazelnut,k4,5,Pixel F1,0.5401,0.0362,0.4696,0.5658
hazelnut,k4,5,Pixel PRO,0.8131,0.0156,0.7915,0.8362
leather,k1,5,Image AUROC,1.0000,0.0000,1.0000,1.0000
leather,k1,5,Image AP,1.0000,0.0000,1.0000,1.0000
leather,k1,5,Image F1,1.0000,0.0000,1.0000,1.0000
leather,k1,5,Pixel AUROC,0.9929,0.0006,0.9922,0.9938
leather,k1,5,Pixel AP,0.4770,0.0171,0.4477,0.5011
leather,k1,5,Pixel F1,0.4990,0.0135,0.4769,0.5178
leather,k1,5,Pixel PRO,0.9740,0.0023,0.9705,0.9767
leather,k2,6,Image AUROC,1.0000,0.0000,1.0000,1.0000
leather,k2,6,Image AP,1.0000,0.0000,1.0000,1.0000
leather,k2,6,Image F1,1.0000,0.0000,1.0000,1.0000
leather,k2,6,Pixel AUROC,0.9929,0.0004,0.9921,0.9934
leather,k2,6,Pixel AP,0.4731,0.0164,0.4439,0.4967
leather,k2,6,Pixel F1,0.4984,0.0132,0.4710,0.5148
leather,k2,6,Pixel PRO,0.9734,0.0021,0.9712,0.9768
leather,k4,5,Image AUROC,1.0000,0.0000,1.0000,1.0000
leather,k4,5,Image AP,1.0000,0.0000,1.0000,1.0000
leather,k4,5,Image F1,1.0000,0.0000,1.0000,1.0000
leather,k4,5,Pixel AUROC,0.9934,0.0006,0.9924,0.9939
leather,k4,5,Pixel AP,0.4935,0.0364,0.4365,0.5443
leather,k4,5,Pixel F1,0.5151,0.0214,0.4870,0.5479
leather,k4,5,Pixel PRO,0.9721,0.0041,0.9659,0.9783
metal_nut,k1,5,Image AUROC,0.8459,0.0426,0.7903,0.8998
metal_nut,k1,5,Image AP,0.9597,0.0127,0.9431,0.9758
metal_nut,k1,5,Image F1,0.9203,0.0099,0.9082,0.9375
metal_nut,k1,5,Pixel AUROC,0.9465,0.0132,0.9224,0.9617
metal_nut,k1,5,Pixel AP,0.7807,0.0372,0.7321,0.8261
metal_nut,k1,5,Pixel F1,0.7230,0.0340,0.6656,0.7648
metal_nut,k1,5,Pixel PRO,0.7931,0.0370,0.7218,0.8283
metal_nut,k2,6,Image AUROC,0.9556,0.0123,0.9360,0.9726
metal_nut,k2,6,Image AP,0.9894,0.0029,0.9846,0.9939
metal_nut,k2,6,Image F1,0.9503,0.0095,0.9388,0.9634
metal_nut,k2,6,Pixel AUROC,0.9768,0.0056,0.9653,0.9823
metal_nut,k2,6,Pixel AP,0.8767,0.0224,0.8324,0.9049
metal_nut,k2,6,Pixel F1,0.8220,0.0195,0.7823,0.8403
metal_nut,k2,6,Pixel PRO,0.8887,0.0255,0.8572,0.9327
metal_nut,k4,5,Image AUROC,0.9928,0.0060,0.9824,0.9980
metal_nut,k4,5,Image AP,0.9983,0.0013,0.9960,0.9995
metal_nut,k4,5,Image F1,0.9829,0.0104,0.9626,0.9894
metal_nut,k4,5,Pixel AUROC,0.9854,0.0033,0.9789,0.9875
metal_nut,k4,5,Pixel AP,0.9092,0.0174,0.8753,0.9215
metal_nut,k4,5,Pixel F1,0.8603,0.0132,0.8343,0.8700
metal_nut,k4,5,Pixel PRO,0.9234,0.0063,0.9160,0.9342
pill,k1,5,Image AUROC,0.8765,0.0362,0.8224,0.9332
pill,k1,5,Image AP,0.9751,0.0080,0.9641,0.9877
pill,k1,5,Image F1,0.9310,0.0097,0.9169,0.9470
pill,k1,5,Pixel AUROC,0.9710,0.0132,0.9453,0.9801
pill,k1,5,Pixel AP,0.7652,0.0529,0.6617,0.8101
pill,k1,5,Pixel F1,0.7190,0.0402,0.6423,0.7592
pill,k1,5,Pixel PRO,0.9264,0.0336,0.8621,0.9503
pill,k2,6,Image AUROC,0.9135,0.0169,0.8797,0.9332
pill,k2,6,Image AP,0.9827,0.0040,0.9744,0.9868
pill,k2,6,Image F1,0.9389,0.0086,0.9231,0.9474
pill,k2,6,Pixel AUROC,0.9802,0.0043,0.9747,0.9854
pill,k2,6,Pixel AP,0.7960,0.0269,0.7654,0.8312
pill,k2,6,Pixel F1,0.7409,0.0184,0.7210,0.7695
pill,k2,6,Pixel PRO,0.9496,0.0073,0.9435,0.9622
pill,k4,5,Image AUROC,0.9388,0.0074,0.9313,0.9523
pill,k4,5,Image AP,0.9880,0.0018,0.9860,0.9908
pill,k4,5,Image F1,0.9558,0.0041,0.9504,0.9609
pill,k4,5,Pixel AUROC,0.9845,0.0022,0.9826,0.9888
pill,k4,5,Pixel AP,0.8157,0.0150,0.8005,0.8422
pill,k4,5,Pixel F1,0.7509,0.0129,0.7382,0.7736
pill,k4,5,Pixel PRO,0.9566,0.0052,0.9488,0.9649
screw,k1,5,Image AUROC,0.8154,0.0337,0.7590,0.8602
screw,k1,5,Image AP,0.9296,0.0160,0.9074,0.9536
screw,k1,5,Image F1,0.8768,0.0094,0.8655,0.8915
screw,k1,5,Pixel AUROC,0.9670,0.0095,0.9551,0.9795
screw,k1,5,Pixel AP,0.1628,0.0513,0.1020,0.2242
screw,k1,5,Pixel F1,0.2611,0.0494,0.2000,0.3235
screw,k1,5,Pixel PRO,0.8703,0.0219,0.8383,0.8963
screw,k2,6,Image AUROC,0.8546,0.0444,0.7807,0.9248
screw,k2,6,Image AP,0.9478,0.0181,0.9186,0.9735
screw,k2,6,Image F1,0.8823,0.0146,0.8706,0.9136
screw,k2,6,Pixel AUROC,0.9726,0.0060,0.9655,0.9824
screw,k2,6,Pixel AP,0.1946,0.0285,0.1683,0.2485
screw,k2,6,Pixel F1,0.2976,0.0259,0.2727,0.3404
screw,k2,6,Pixel PRO,0.8925,0.0207,0.8678,0.9302
screw,k4,5,Image AUROC,0.8806,0.0460,0.8006,0.9322
screw,k4,5,Image AP,0.9568,0.0170,0.9307,0.9768
screw,k4,5,Image F1,0.9028,0.0206,0.8645,0.9244
screw,k4,5,Pixel AUROC,0.9649,0.0232,0.9211,0.9823
screw,k4,5,Pixel AP,0.2407,0.0550,0.1406,0.3043
screw,k4,5,Pixel F1,0.3227,0.0414,0.2476,0.3727
screw,k4,5,Pixel PRO,0.8792,0.0603,0.7624,0.9270
tile,k1,5,Image AUROC,0.9907,0.0045,0.9852,0.9960
tile,k1,5,Image AP,0.9968,0.0014,0.9951,0.9985
tile,k1,5,Image F1,0.9808,0.0023,0.9762,0.9822
tile,k1,5,Pixel AUROC,0.9572,0.0029,0.9520,0.9606
tile,k1,5,Pixel AP,0.5736,0.0217,0.5473,0.6095
tile,k1,5,Pixel F1,0.6641,0.0092,0.6483,0.6767
tile,k1,5,Pixel PRO,0.9189,0.0020,0.9169,0.9223
tile,k2,6,Image AUROC,0.9913,0.0022,0.9874,0.9939
tile,k2,6,Image AP,0.9969,0.0008,0.9955,0.9977
tile,k2,6,Image F1,0.9801,0.0027,0.9762,0.9820
tile,k2,6,Pixel AUROC,0.9617,0.0024,0.9577,0.9654
tile,k2,6,Pixel AP,0.5943,0.0214,0.5724,0.6373
tile,k2,6,Pixel F1,0.6668,0.0090,0.6546,0.6839
tile,k2,6,Pixel PRO,0.9163,0.0011,0.9143,0.9173
tile,k4,5,Image AUROC,0.9929,0.0031,0.9881,0.9968
tile,k4,5,Image AP,0.9973,0.0012,0.9954,0.9988
tile,k4,5,Image F1,0.9784,0.0048,0.9701,0.9820
tile,k4,5,Pixel AUROC,0.9620,0.0059,0.9519,0.9678
tile,k4,5,Pixel AP,0.6136,0.0387,0.5601,0.6622
tile,k4,5,Pixel F1,0.6706,0.0213,0.6422,0.6937
tile,k4,5,Pixel PRO,0.9175,0.0051,0.9090,0.9248
toothbrush,k1,5,Image AUROC,0.9533,0.0368,0.8833,0.9861
toothbrush,k1,5,Image AP,0.9834,0.0131,0.9587,0.9952
toothbrush,k1,5,Image F1,0.9384,0.0349,0.8824,0.9831
toothbrush,k1,5,Pixel AUROC,0.9814,0.0027,0.9775,0.9847
toothbrush,k1,5,Pixel AP,0.4511,0.0321,0.3918,0.4793
toothbrush,k1,5,Pixel F1,0.5542,0.0208,0.5179,0.5806
toothbrush,k1,5,Pixel PRO,0.8978,0.0158,0.8753,0.9145
toothbrush,k2,6,Image AUROC,0.9643,0.0420,0.8722,0.9972
toothbrush,k2,6,Image AP,0.9871,0.0148,0.9547,0.9989
toothbrush,k2,6,Image F1,0.9498,0.0321,0.8824,0.9836
toothbrush,k2,6,Pixel AUROC,0.9831,0.0038,0.9749,0.9866
toothbrush,k2,6,Pixel AP,0.4494,0.0091,0.4399,0.4608
toothbrush,k2,6,Pixel F1,0.5507,0.0084,0.5429,0.5653
toothbrush,k2,6,Pixel PRO,0.9069,0.0253,0.8513,0.9271
toothbrush,k4,5,Image AUROC,0.9839,0.0128,0.9639,1.0000
toothbrush,k4,5,Image AP,0.9942,0.0045,0.9873,1.0000
toothbrush,k4,5,Image F1,0.9698,0.0198,0.9474,1.0000
toothbrush,k4,5,Pixel AUROC,0.9842,0.0020,0.9815,0.9864
toothbrush,k4,5,Pixel AP,0.4404,0.0204,0.4142,0.4654
toothbrush,k4,5,Pixel F1,0.5407,0.0123,0.5288,0.5602
toothbrush,k4,5,Pixel PRO,0.9189,0.0122,0.9050,0.9331
transistor,k1,5,Image AUROC,0.7903,0.1006,0.6650,0.9142
transistor,k1,5,Image AP,0.7508,0.1217,0.5969,0.9140
transistor,k1,5,Image F1,0.7228,0.0888,0.6435,0.8642
transistor,k1,5,Pixel AUROC,0.7581,0.1552,0.4755,0.9016
transistor,k1,5,Pixel AP,0.3510,0.1658,0.0838,0.5353
transistor,k1,5,Pixel F1,0.3653,0.1463,0.1161,0.5203
transistor,k1,5,Pixel PRO,0.5911,0.2169,0.2061,0.8013
transistor,k2,6,Image AUROC,0.8692,0.0955,0.7308,0.9675
transistor,k2,6,Image AP,0.8556,0.0997,0.7056,0.9590
transistor,k2,6,Image F1,0.7769,0.0922,0.6435,0.8800
transistor,k2,6,Pixel AUROC,0.8852,0.0507,0.7813,0.9265
transistor,k2,6,Pixel AP,0.5103,0.0733,0.3851,0.5907
transistor,k2,6,Pixel F1,0.4959,0.0548,0.4145,0.5586
transistor,k2,6,Pixel PRO,0.7971,0.0822,0.6344,0.8652
transistor,k4,5,Image AUROC,0.9357,0.0645,0.8079,0.9829
transistor,k4,5,Image AP,0.9254,0.0666,0.7947,0.9787
transistor,k4,5,Image F1,0.8687,0.0860,0.7000,0.9351
transistor,k4,5,Pixel AUROC,0.9161,0.0325,0.8619,0.9487
transistor,k4,5,Pixel AP,0.5598,0.0607,0.4573,0.6313
transistor,k4,5,Pixel F1,0.5384,0.0463,0.4548,0.5901
transistor,k4,5,Pixel PRO,0.8444,0.0523,0.7646,0.9049
wood,k1,5,Image AUROC,0.9900,0.0010,0.9895,0.9921
wood,k1,5,Image AP,0.9969,0.0003,0.9967,0.9975
wood,k1,5,Image F1,0.9754,0.0052,0.9672,0.9836
wood,k1,5,Pixel AUROC,0.9347,0.0076,0.9230,0.9449
wood,k1,5,Pixel AP,0.4776,0.0201,0.4458,0.5045
wood,k1,5,Pixel F1,0.5042,0.0145,0.4833,0.5237
wood,k1,5,Pixel PRO,0.8603,0.0118,0.8452,0.8717
wood,k2,6,Image AUROC,0.9915,0.0038,0.9868,0.9974
wood,k2,6,Image AP,0.9974,0.0012,0.9959,0.9992
wood,k2,6,Image F1,0.9768,0.0087,0.9667,0.9917
wood,k2,6,Pixel AUROC,0.9387,0.0044,0.9325,0.9466
wood,k2,6,Pixel AP,0.4750,0.0112,0.4639,0.4903
wood,k2,6,Pixel F1,0.4976,0.0092,0.4845,0.5076
wood,k2,6,Pixel PRO,0.8619,0.0112,0.8447,0.8784
wood,k4,5,Image AUROC,0.9944,0.0037,0.9886,0.9991
wood,k4,5,Image AP,0.9983,0.0011,0.9965,0.9997
wood,k4,5,Image F1,0.9804,0.0096,0.9677,0.9917
wood,k4,5,Pixel AUROC,0.9328,0.0170,0.9001,0.9453
wood,k4,5,Pixel AP,0.4567,0.0334,0.3945,0.4840
wood,k4,5,Pixel F1,0.4926,0.0112,0.4742,0.5065
wood,k4,5,Pixel PRO,0.8523,0.0201,0.8138,0.8671
zipper,k1,5,Image AUROC,0.9740,0.0136,0.9622,0.9908
zipper,k1,5,Image AP,0.9920,0.0044,0.9882,0.9975
zipper,k1,5,Image F1,0.9706,0.0113,0.9528,0.9874
zipper,k1,5,Pixel AUROC,0.9810,0.0027,0.9765,0.9842
zipper,k1,5,Pixel AP,0.5769,0.0216,0.5560,0.6147
zipper,k1,5,Pixel F1,0.6103,0.0152,0.5865,0.6301
zipper,k1,5,Pixel PRO,0.9428,0.0075,0.9315,0.9513
zipper,k2,6,Image AUROC,0.9861,0.0114,0.9609,0.9929
zipper,k2,6,Image AP,0.9956,0.0042,0.9862,0.9980
zipper,k2,6,Image F1,0.9814,0.0051,0.9712,0.9874
zipper,k2,6,Pixel AUROC,0.9850,0.0018,0.9821,0.9875
zipper,k2,6,Pixel AP,0.6190,0.0237,0.5825,0.6589
zipper,k2,6,Pixel F1,0.6396,0.0144,0.6192,0.6667
zipper,k2,6,Pixel PRO,0.9527,0.0056,0.9453,0.9637
zipper,k4,5,Image AUROC,0.9910,0.0048,0.9850,0.9966
zipper,k4,5,Image AP,0.9974,0.0014,0.9955,0.9991
zipper,k4,5,Image F1,0.9834,0.0052,0.9752,0.9876
zipper,k4,5,Pixel AUROC,0.9865,0.0019,0.9835,0.9891
zipper,k4,5,Pixel AP,0.6419,0.0211,0.6166,0.6746
zipper,k4,5,Pixel F1,0.6546,0.0124,0.6420,0.6780
zipper,k4,5,Pixel PRO,0.9572,0.0068,0.9467,0.9673
